time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
5.217,-0.32,-0.03,0.94,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00
5.27,-0.32,-0.03,0.94,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00
5.273,-0.32,-0.03,0.94,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00
5.274,-0.32,-0.03,0.94,-0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00
5.332,-0.32,-0.03,0.94,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00
5.335,-0.32,-0.03,0.94,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00
5.336,-0.32,-0.03,0.94,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00
5.449,-0.32,-0.03,0.94,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00
5.451,-0.32,-0.03,0.94,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00
5.452,-0.32,-0.03,0.94,0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00
5.509,-0.32,-0.03,0.94,0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00
5.512,-0.32,-0.03,0.94,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00
5.514,-0.32,-0.03,0.94,-0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00
5.568,-0.32,-0.03,0.94,-0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00
5.57,-0.32,-0.03,0.94,0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00
5.57,-0.32,-0.03,0.94,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00
5.63,-0.32,-0.03,0.94,0.00,-0.00,-0.00,-0.00,-0.00,-0.00,0.00
5.635,-0.32,-0.03,0.94,0.00,-0.00,-0.00,-0.00,-0.00,-0.00,0.00
5.635,-0.32,-0.03,0.94,-0.00,-0.00,-0.01,-0.00,-0.00,-0.00,0.00
5.688,-0.32,-0.03,0.94,-0.00,-0.00,-0.01,-0.00,-0.00,-0.00,0.00
5.689,-0.32,-0.03,0.94,-0.00,-0.00,-0.01,0.00,-0.00,0.00,0.00
5.689,-0.32,-0.03,0.94,-0.00,-0.01,-0.01,0.00,-0.00,0.00,0.00
5.748,-0.32,-0.03,0.94,-0.00,-0.01,-0.01,0.00,-0.00,-0.00,0.00
5.749,-0.32,-0.03,0.94,-0.00,-0.01,-0.01,0.00,-0.00,-0.00,0.00
5.749,-0.32,-0.03,0.94,-0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00
5.808,-0.32,-0.03,0.94,-0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00
5.81,-0.32,-0.03,0.94,-0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00
5.812,-0.32,-0.03,0.94,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00
5.868,-0.32,-0.03,0.94,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00
5.872,-0.32,-0.03,0.94,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00
5.873,-0.32,-0.03,0.94,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00
5.927,-0.32,-0.03,0.94,-0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00
